name,price,payment_cycle,benefits,users
Monthly Tinder 2.0 +,19.99,Monthly,Pretty much none,50
Yearly Tinder 2.0 +,199.99,Yearly,Pretty much none but for a year,10
Onetime Tinder 2.0 +,49.99,OneTime,Absolutely none we just want your money,2
Monthly Tinder 2.0 premium,39.99,Monthly,It's a secret,30
Yearly Tinder 2.0 premium,399.99,Yearly,Also a secret (the same one),10
Monthly Tinder 2.0 enterprise,59.99,Monthly,The enterprise version of Tinder 2.0 for a month,10
Yearly Tinder 2.0 enterprise,599.99,Yearly,The enterprise version of Tinder 2.0 for a year,5
Tinder 2.0 enterprise,5999.99,OneTime,The enterprise version of Tinder 2.0,1
Monthly Tinder 2.0 full,99.99,Monthly,Dark theme for a month,50
Yearly Tinder 2.0 full,999.99,Yearly,Dark theme for a year,20
