name,iso_code,population,locale
Aruba,ABW,107566
Afghanistan,AFG,43844000
Angola,AGO,36170961
Anguilla,AIA,16010
Albania,ALB,2363314
Andorra,AND,88649
United Arab Emirates,ARE,11294243,ar_AA
Argentina,ARG,46387098,es_AR
Armenia,ARM,3076200,hy_AM
American Samoa,ASM,49710
Antigua and Barbuda,ATG,103603
Australia,AUS,27536874,en_AU
Austria,AUT,9200931,de_AT
Azerbaijan,AZE,10241722,az_AZ
Burundi,BDI,12332788
Belgium,BEL,11825551,fr_BE
Benin,BEN,13224860
Burkina Faso,BFA,24070553
Bangladesh,BGD,169828911,bn_BD
Bulgaria,BGR,6437360,bg_BG
Bahrain,BHR,1594654,ar_PS
Bahamas,BHS,398165
Bosnia and Herzegovina,BIH,3422000
Saint Barthélemy,BLM,10562
Belarus,BLR,9109280
Belize,BLZ,417634
Bermuda,BMU,64055
Bolivia,BOL,11365333
Brazil,BRA,213421037,pt_BR
Barbados,BRB,267800
Brunei,BRN,455500
Bhutan,BTN,784043
Botswana,BWA,2359609
Central African Republic,CAF,6470307
Canada,CAN,41651653,en_CA
Cocos,CCK,593
Switzerland,CHE,9082848,de_CH
Chile,CHL,20206953,es_CL
China,CHN,1408280000,zh_CN
Ivory Coast,CIV,31719275
Cameroon,CMR,29442327
Democratic Republic of the Congo,COD,112832000
Republic of the Congo,COG,6142180
Cook Islands,COK,15040
Colombia,COL,53057212,es_CO
Comoros,COM,919901
Cape Verde,CPV,491233
Costa Rica,CRI,5309625
Cuba,CUB,9748007
Curaçao,CUW,156115
Christmas Island,CXR,1692
Cayman Islands,CYM,84738
Cyprus,CYP,966400
Czechia,CZE,10882341,cs_CZ
Germany,DEU,83491249,de_DE
Djibouti,DJI,1066809
Dominica,DMA,67408
Denmark,DNK,6011488,da_DK
Dominican Republic,DOM,10771504
Algeria,DZA,47400000
Ecuador,ECU,18103660
Egypt,EGY,107271260
Eritrea,ERI,3607000
Western Sahara,ESH,600904
Spain,ESP,49315949,es_ES
Estonia,EST,1369995,et_EE
Ethiopia,ETH,111652998
Finland,FIN,5653269,fi_FI
Fiji,FJI,900869
Falkland Islands,FLK,3662
France,FRA,68706000,fr_FR
Faroe Islands,FRO,54885
Micronesia,FSM,105564
Gabon,GAB,2469296
United Kingdom,GBR,69281437,en_GB
Georgia,GEO,3704500,ka_GE
Guernsey,GGY,64781
Ghana,GHA,33742380,tw_GH
Gibraltar,GIB,38000
Guinea,GIN,14363931
Gambia,GMB,2422712
Guinea-Bissau,GNB,1781308
Equatorial Guinea,GNQ,1668768
Greece,GRC,10400720,el_GR
Grenada,GRD,109021
Greenland,GRL,56542
Guatemala,GTM,18079810
Guam,GUM,153836
Guyana,GUY,772975
Hong Kong,HKG,7527500
Honduras,HND,9892632
Croatia,HRV,3866233,hr_HR
Haiti,HTI,11867032
Hungary,HUN,9539502,hu_HU
Indonesia,IDN,284438782,id_ID
Isle of Man,IMN,84530
India,IND,1417492000,or_IN
Ireland,IRL,5458600,en_IE
Iran,IRN,85961000,fa_IR
Iraq,IRQ,46118793
Iceland,ISL,393160,is_IS
Israel,ISR,10147200,he_IL
Italy,ITA,58927633,it_IT
Jamaica,JAM,2825544
Jersey,JEY,103267
Jordan,JOR,11734000
Japan,JPN,123210000,ja_JP
Kazakhstan,KAZ,20426568
Kenya,KEN,53330978,en_KE
Kyrgyzstan,KGZ,7281800
Cambodia,KHM,17577760
Kiribati,KIR,120740
Saint Kitts and Nevis,KNA,51320
South Korea,KOR,51159889,ko_KR
Kuwait,KWT,4881254
Laos,LAO,7647000
Lebanon,LBN,5490000
Liberia,LBR,5248621
Libya,LBY,7459000
Saint Lucia,LCA,184100
Liechtenstein,LIE,40900,de_LI
Sri Lanka,LKA,21763170
Lesotho,LSO,2116427
Lithuania,LTU,2894886,lt_LT
Luxembourg,LUX,681973,de_LU
Latvia,LVA,1829000,lv_LV
Macao,MAC,685900
Saint Martin,MAF,31496
Morocco,MAR,36828330
Monaco,MCO,38423
Moldova,MDA,2381300
Madagascar,MDG,31727042
Maldives,MDV,515132
Mexico,MEX,130575786,es_MX
Marshall Islands,MHL,42418
North Macedonia,MKD,1822612
Mali,MLI,22395489
Malta,MLT,574250
Myanmar,MMR,51316756
Montenegro,MNE,623327
Mongolia,MNG,3544835
Northern Mariana Islands,MNP,47329
Mozambique,MOZ,34090466
Mauritania,MRT,4927532
Montserrat,MSR,4386
Mauritius,MUS,1243741
Malawi,MWI,20734262
Malaysia,MYS,34231700
Namibia,NAM,3022401
New Caledonia,NCL,264596
Niger,NER,26312034
Norfolk Island,NFK,2188
Nigeria,NGA,223800000,en_NG
Nicaragua,NIC,6803886
Niue,NIU,1681
Netherlands,NLD,18121550,nl_NL
Norway,NOR,5606944,no_NO
Nepal,NPL,29911840,ne_NP
Nauru,NRU,11680
New Zealand,NZL,5324700,en_NZ
Oman,OMN,5343630
Pakistan,PAK,241499431
Panama,PAN,4064780
Pitcairn Islands,PCN,35
Peru,PER,34350244
Philippines,PHL,114123600,en_PH
Palau,PLW,16733
Papua New Guinea,PNG,11781559
Poland,POL,37385000,pl_PL
Puerto Rico,PRI,3203295
North Korea,PRK,25950000,ko_KR
Portugal,PRT,10749635,pt_PT
Paraguay,PRY,6109644
Palestine,PSE,5483450
French Polynesia,PYF,279500
Qatar,QAT,3173024
Romania,ROU,19036031,ro_RO
Russia,RUS,146028325,ru_RU
Rwanda,RWA,14104969
Saudi Arabia,SAU,35300280,ar_SA
Sudan,SDN,51662000
Senegal,SEN,18593258
Singapore,SGP,6110200
Saint Helena Ascension and Tristan da Cunha,SHN,5651
Solomon Islands,SLB,750325
Sierra Leone,SLE,9077691
El Salvador,SLV,6029976
San Marino,SMR,34132
Somalia,SOM,19655000
Saint Pierre and Miquelon,SPM,5819
Serbia,SRB,6567783
South Sudan,SSD,15786898
São Tomé and Príncipe,STP,209607
Suriname,SUR,616500
Slovakia,SVK,5413813,sk_SK
Slovenia,SVN,2130986,sl_SI
Sweden,SWE,10605098,sv_SE
Eswatini,SWZ,1235549
Sint Maarten,SXM,41349
Seychelles,SYC,122729
Syria,SYR,25620000
Turks and Caicos Islands,TCA,50828
Chad,TCD,19340757
Togo,TGO,8095498
Thailand,THA,65859640,th_TH
Tajikistan,TJK,10499000
Tokelau,TKL,2608
Turkmenistan,TKM,7057841
Timor-Leste,TLS,1391221
Tonga,TON,100179
Trinidad and Tobago,TTO,1367764
Tunisia,TUN,11972169
Turkey,TUR,85664944,tr_TR
Tuvalu,TUV,10643
Taiwan,TWN,23317031,zh_TW
Tanzania,TZA,68153004
Uganda,UGA,45905417
Ukraine,UKR,32862000,uk_UA
Uruguay,URY,3499451
United States of America,USA,340110988,en_US
Uzbekistan,UZB,37859698,uz_UZ
Vatican City,VAT,882
Saint Vincent and the Grenadines,VCT,110872
Venezuela,VEN,28517000
British Virgin Islands,VGB,39471
U.S. Virgin Islands,VIR,87146
Vietnam,VNM,101343800,vi_VN
Vanuatu,VUT,321409
Wallis and Futuna,WLF,11620
Samoa,WSM,205557
Yemen,YEM,32684503
South Africa,ZAF,63100945,zu_ZA
Zambia,ZMB,19693423
Zimbabwe,ZWE,17073087
